




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.XXXX/zenodo.XXXXXXXX Released 2025-10-05
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (8177)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
purine ribonucleotide metabolic process (GO:0009150)	294	148	116.81	+	1.27	2.39E-04	2.84E-03
cell migration (GO:0016477)	934	470	371.10	+	1.27	2.16E-11	7.98E-10
purine-containing compound metabolic process (GO:0072521)	507	255	201.45	+	1.27	1.28E-06	2.47E-05
system development (GO:0048731)	3655	1838	1452.23	+	1.27	4.54E-46	1.08E-43
response to cytokine (GO:0034097)	885	445	351.63	+	1.27	9.05E-11	3.11E-09
camera-type eye development (GO:0043010)	368	185	146.22	+	1.27	4.15E-05	5.89E-04
regulation of plasma membrane bounded cell projection assembly (GO:0120032)	211	106	83.84	+	1.26	2.28E-03	1.94E-02
response to wounding (GO:0009611)	458	230	181.98	+	1.26	5.24E-06	8.85E-05
positive regulation of defense response (GO:0031349)	466	234	185.15	+	1.26	3.99E-06	6.90E-05
regulation of nucleobase-containing compound metabolic process (GO:0019219)	4005	2010	1591.30	+	1.26	1.71E-50	5.09E-48
eye development (GO:0001654)	419	210	166.48	+	1.26	1.69E-05	2.59E-04
regulation of hemopoiesis (GO:1903706)	436	218	173.23	+	1.26	1.26E-05	2.00E-04
regulation of vesicle-mediated transport (GO:0060627)	570	285	226.48	+	1.26	5.50E-07	1.13E-05
plasma membrane bounded cell projection organization (GO:0120036)	1198	598	476.00	+	1.26	2.38E-13	1.09E-11
multicellular organismal-level homeostasis (GO:0048871)	706	352	280.51	+	1.25	3.13E-08	7.84E-07
cell projection organization (GO:0030030)	1254	625	498.25	+	1.25	8.18E-14	3.95E-12
regulation of metabolic process (GO:0019222)	6337	3158	2517.86	+	1.25	5.68E-86	5.16E-83
positive regulation of MAPK cascade (GO:0043410)	470	234	186.74	+	1.25	8.70E-06	1.43E-04
regulation of macromolecule metabolic process (GO:0060255)	5789	2882	2300.13	+	1.25	5.95E-75	3.46E-72
neuron development (GO:0048666)	906	451	359.98	+	1.25	4.51E-10	1.41E-08
regulation of synaptic plasticity (GO:0048167)	217	108	86.22	+	1.25	2.67E-03	2.21E-02
visual system development (GO:0150063)	422	210	167.67	+	1.25	2.86E-05	4.17E-04
neuron differentiation (GO:0030182)	1130	562	448.98	+	1.25	2.68E-12	1.10E-10
regulation of neuron differentiation (GO:0045664)	183	91	72.71	+	1.25	6.23E-03	4.51E-02
central nervous system development (GO:0007417)	1026	510	407.66	+	1.25	3.36E-11	1.22E-09
regulation of RNA metabolic process (GO:0051252)	3702	1839	1470.91	+	1.25	9.19E-42	1.88E-39
regulation of localization (GO:0032879)	2024	1005	804.19	+	1.25	2.07E-21	1.69E-19
amide metabolic process (GO:0043603)	423	210	168.07	+	1.25	3.64E-05	5.22E-04
localization (GO:0051179)	4600	2280	1827.71	+	1.25	3.82E-53	1.26E-50
nucleotide biosynthetic process (GO:0009165)	212	105	84.23	+	1.25	3.78E-03	2.99E-02
positive regulation of cell population proliferation (GO:0008284)	929	460	369.12	+	1.25	7.29E-10	2.22E-08
meiotic cell cycle process (GO:1903046)	204	101	81.05	+	1.25	4.94E-03	3.67E-02
hemostasis (GO:0007599)	196	97	77.88	+	1.25	6.51E-03	4.69E-02
negative regulation of molecular function (GO:0044092)	293	145	116.42	+	1.25	7.35E-04	7.31E-03
negative regulation of defense response (GO:0031348)	293	145	116.42	+	1.25	7.35E-04	7.30E-03
cellular response to cytokine stimulus (GO:0071345)	783	387	311.11	+	1.24	2.63E-08	6.67E-07
sensory system development (GO:0048880)	429	212	170.45	+	1.24	4.18E-05	5.93E-04
response to stress (GO:0006950)	3631	1794	1442.70	+	1.24	9.22E-39	1.76E-36
positive regulation of lymphocyte activation (GO:0051251)	336	166	133.50	+	1.24	3.12E-04	3.55E-03
regulation of DNA-templated transcription (GO:0006355)	3393	1676	1348.13	+	1.24	1.04E-35	1.61E-33
animal organ morphogenesis (GO:0009887)	990	489	393.35	+	1.24	2.85E-10	9.18E-09
regulation of RNA biosynthetic process (GO:2001141)	3405	1681	1352.90	+	1.24	1.04E-35	1.59E-33
small molecule biosynthetic process (GO:0044283)	474	234	188.33	+	1.24	1.83E-05	2.80E-04
defense response to virus (GO:0051607)	292	144	116.02	+	1.24	9.00E-04	8.72E-03
regulation of defense response (GO:0031347)	891	439	354.02	+	1.24	4.57E-09	1.29E-07
regulation of multicellular organismal process (GO:0051239)	3029	1492	1203.51	+	1.24	1.46E-30	1.81E-28
positive regulation of cell activation (GO:0050867)	388	191	154.16	+	1.24	1.56E-04	1.93E-03
regulation of muscle system process (GO:0090257)	250	123	99.33	+	1.24	2.71E-03	2.23E-02
carbohydrate metabolic process (GO:0005975)	435	214	172.84	+	1.24	5.79E-05	7.90E-04
positive regulation of leukocyte activation (GO:0002696)	370	182	147.01	+	1.24	2.10E-04	2.53E-03
negative regulation of immune response (GO:0050777)	220	108	87.41	+	1.24	5.48E-03	4.02E-02
positive regulation of response to external stimulus (GO:0032103)	591	290	234.82	+	1.23	3.18E-06	5.55E-05
regulation of biosynthetic process (GO:0009889)	5269	2580	2093.52	+	1.23	4.91E-56	1.83E-53
positive regulation of cell-cell adhesion (GO:0022409)	335	164	133.10	+	1.23	5.83E-04	6.07E-03
response to lipid (GO:0033993)	875	428	347.66	+	1.23	2.23E-08	5.69E-07
regulation of macromolecule biosynthetic process (GO:0010556)	5083	2486	2019.62	+	1.23	7.90E-53	2.55E-50
import into cell (GO:0098657)	716	350	284.49	+	1.23	4.98E-07	1.03E-05
reproductive system development (GO:0061458)	301	147	119.60	+	1.23	1.33E-03	1.23E-02
negative regulation of immune system process (GO:0002683)	555	271	220.52	+	1.23	1.27E-05	2.01E-04
hemopoiesis (GO:0030097)	721	352	286.47	+	1.23	5.44E-07	1.12E-05
positive regulation of leukocyte cell-cell adhesion (GO:1903039)	281	137	111.65	+	1.23	2.12E-03	1.81E-02
protein complex oligomerization (GO:0051259)	279	136	110.85	+	1.23	2.48E-03	2.08E-02
methylation (GO:0032259)	230	112	91.39	+	1.23	6.59E-03	4.74E-02
regulation of gene expression (GO:0010468)	4973	2421	1975.91	+	1.23	5.63E-49	1.54E-46
regulation of transcription by RNA polymerase II (GO:0006357)	2652	1291	1053.71	+	1.23	1.61E-23	1.50E-21
positive regulation of gene expression (GO:0010628)	1212	590	481.56	+	1.23	8.54E-11	2.95E-09
regulation of small molecule metabolic process (GO:0062012)	337	164	133.90	+	1.22	9.04E-04	8.75E-03
reproductive structure development (GO:0048608)	296	144	117.61	+	1.22	1.83E-03	1.60E-02
positive regulation of T cell activation (GO:0050870)	259	126	102.91	+	1.22	3.95E-03	3.08E-02
regulation of leukocyte differentiation (GO:1902105)	352	171	139.86	+	1.22	7.83E-04	7.75E-03
negative regulation of multicellular organismal process (GO:0051241)	1153	560	458.12	+	1.22	4.36E-10	1.37E-08
cellular response to lipid (GO:0071396)	569	276	226.08	+	1.22	1.98E-05	2.99E-04
response to metal ion (GO:0010038)	341	165	135.49	+	1.22	1.18E-03	1.11E-02
response to lipopolysaccharide (GO:0032496)	310	150	123.17	+	1.22	1.91E-03	1.66E-02
regulation of response to external stimulus (GO:0032101)	1147	555	455.73	+	1.22	1.06E-09	3.19E-08
animal organ development (GO:0048513)	2930	1417	1164.17	+	1.22	1.70E-24	1.64E-22
small molecule metabolic process (GO:0044281)	1549	749	615.46	+	1.22	9.12E-13	3.96E-11
response to xenobiotic stimulus (GO:0009410)	400	193	158.93	+	1.21	5.33E-04	5.71E-03
tissue development (GO:0009888)	1798	867	714.39	+	1.21	2.29E-14	1.14E-12
proteolysis (GO:0006508)	1328	640	527.65	+	1.21	1.12E-10	3.80E-09
cell adhesion (GO:0007155)	965	465	383.42	+	1.21	5.44E-08	1.32E-06
cellular response to chemical stimulus (GO:0070887)	1989	958	790.28	+	1.21	1.07E-15	5.80E-14
regulation of transport (GO:0051049)	1607	774	638.51	+	1.21	1.01E-12	4.34E-11
regulation of body fluid levels (GO:0050878)	378	182	150.19	+	1.21	8.22E-04	8.06E-03
negative regulation of response to external stimulus (GO:0032102)	418	201	166.08	+	1.21	4.85E-04	5.24E-03
meiotic cell cycle (GO:0051321)	279	134	110.85	+	1.21	5.48E-03	4.02E-02
cell projection assembly (GO:0030031)	469	225	186.35	+	1.21	2.78E-04	3.23E-03
leukocyte differentiation (GO:0002521)	442	212	175.62	+	1.21	3.97E-04	4.39E-03
mononuclear cell differentiation (GO:1903131)	384	184	152.57	+	1.21	1.08E-03	1.03E-02
cell-cell adhesion (GO:0098609)	556	266	220.91	+	1.20	8.98E-05	1.18E-03
regulation of lipid metabolic process (GO:0019216)	341	163	135.49	+	1.20	2.54E-03	2.12E-02
establishment of localization (GO:0051234)	3984	1904	1582.95	+	1.20	1.53E-30	1.89E-28
muscle contraction (GO:0006936)	285	136	113.24	+	1.20	6.05E-03	4.39E-02
plasma membrane bounded cell projection assembly (GO:0120031)	456	217	181.18	+	1.20	5.84E-04	6.08E-03
lipid metabolic process (GO:0006629)	1221	581	485.14	+	1.20	1.13E-08	3.03E-07
homeostatic process (GO:0042592)	1566	744	622.21	+	1.20	8.85E-11	3.05E-09
positive regulation of transport (GO:0051050)	849	403	337.33	+	1.19	3.12E-06	5.46E-05
regulation of cell-cell adhesion (GO:0022407)	517	245	205.42	+	1.19	3.77E-04	4.18E-03
monocarboxylic acid metabolic process (GO:0032787)	530	251	210.58	+	1.19	3.16E-04	3.60E-03
carboxylic acid metabolic process (GO:0019752)	797	377	316.67	+	1.19	1.08E-05	1.73E-04
transport (GO:0006810)	3754	1775	1491.57	+	1.19	2.99E-25	3.04E-23
regulation of biological quality (GO:0065008)	3065	1448	1217.81	+	1.19	6.36E-20	4.71E-18
regulation of cell activation (GO:0050865)	663	313	263.43	+	1.19	7.53E-05	1.01E-03
oxoacid metabolic process (GO:0043436)	818	386	325.01	+	1.19	1.17E-05	1.86E-04
organic acid metabolic process (GO:0006082)	827	389	328.59	+	1.18	1.54E-05	2.38E-04
anatomical structure development (GO:0048856)	5359	2516	2129.28	+	1.18	9.26E-36	1.45E-33
cellular homeostasis (GO:0019725)	703	330	279.32	+	1.18	8.59E-05	1.13E-03
regulation of leukocyte activation (GO:0002694)	604	282	239.99	+	1.18	4.53E-04	4.94E-03
developmental process (GO:0032502)	5934	2765	2357.74	+	1.17	3.66E-37	6.41E-35
circulatory system process (GO:0003013)	520	241	206.61	+	1.17	2.01E-03	1.73E-02
sensory organ development (GO:0007423)	633	293	251.51	+	1.16	7.08E-04	7.06E-03
regulation of cytokine production (GO:0001817)	828	383	328.99	+	1.16	1.03E-04	1.34E-03
regulation of lymphocyte activation (GO:0051249)	534	247	212.17	+	1.16	1.98E-03	1.71E-02
epithelium development (GO:0060429)	1114	514	442.62	+	1.16	8.83E-06	1.45E-04
protein maturation (GO:0051604)	580	266	230.45	+	1.15	2.56E-03	2.13E-02
cell development (GO:0048468)	2328	1067	924.98	+	1.15	2.19E-10	7.19E-09
regulation of trans-synaptic signaling (GO:0099177)	524	239	208.20	+	1.15	5.79E-03	4.21E-02
regulation of cellular process (GO:0050794)	11547	5259	4587.94	+	1.15	2.51E-83	1.92E-80
regulation of immune system process (GO:0002682)	1667	759	662.34	+	1.15	5.27E-07	1.09E-05
modulation of chemical synaptic transmission (GO:0050804)	523	238	207.80	+	1.15	6.61E-03	4.74E-02
behavior (GO:0007610)	658	299	261.44	+	1.14	2.71E-03	2.24E-02
cell motility (GO:0048870)	1204	546	478.38	+	1.14	4.70E-05	6.59E-04
cellular developmental process (GO:0048869)	3778	1712	1501.10	+	1.14	1.21E-14	6.15E-13
cell activation (GO:0001775)	766	347	304.35	+	1.14	1.56E-03	1.40E-02
cell differentiation (GO:0030154)	3775	1710	1499.91	+	1.14	1.57E-14	7.98E-13
regulation of biological process (GO:0050789)	11979	5426	4759.59	+	1.14	2.31E-83	1.87E-80
positive regulation of immune system process (GO:0002684)	1049	475	416.80	+	1.14	1.93E-04	2.35E-03
cell surface receptor signaling pathway (GO:0007166)	2140	963	850.28	+	1.13	1.69E-07	3.77E-06
biological regulation (GO:0065007)	12390	5574	4922.89	+	1.13	5.91E-81	3.90E-78
chemical homeostasis (GO:0048878)	955	427	379.45	+	1.13	1.45E-03	1.32E-02
cellular response to stimulus (GO:0051716)	6480	2875	2574.68	+	1.12	4.48E-20	3.36E-18
cellular process (GO:0009987)	15672	6948	6226.92	+	1.12	5.37E-134	3.91E-130
response to chemical (GO:0042221)	3741	1616	1486.40	+	1.09	1.88E-06	3.44E-05
biological_process (GO:0008150)	17839	7646	7087.93	+	1.08	1.67E-131	8.11E-128
multicellular organismal process (GO:0032501)	6526	2795	2592.96	+	1.08	6.85E-10	2.10E-08
response to stimulus (GO:0050896)	8322	3552	3306.56	+	1.07	1.14E-12	4.85E-11
signal transduction (GO:0007165)	4926	2067	1957.24	+	1.06	2.56E-04	3.03E-03
signaling (GO:0023052)	5270	2206	2093.92	+	1.05	2.73E-04	3.18E-03
cell communication (GO:0007154)	5314	2215	2111.40	+	1.05	8.00E-04	7.91E-03
immune system process (GO:0002376)	2457	897	976.23	-	.92	5.17E-04	5.55E-03
system process (GO:0003008)	2214	737	879.68	-	.84	3.95E-11	1.42E-09
immune effector process (GO:0002252)	506	161	201.05	-	.80	2.27E-04	2.72E-03
spermatid differentiation (GO:0048515)	257	80	102.11	-	.78	4.69E-03	3.53E-02
immune response-regulating cell surface receptor signaling pathway (GO:0002768)	331	102	131.52	-	.78	8.13E-04	7.99E-03
immune response (GO:0006955)	1802	551	715.98	-	.77	3.93E-17	2.41E-15
adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)	272	81	108.07	-	.75	7.29E-04	7.25E-03
epidermal cell differentiation (GO:0009913)	206	61	81.85	-	.75	2.62E-03	2.17E-02
spermatid development (GO:0007286)	247	73	98.14	-	.74	1.03E-03	9.90E-03
fertilization (GO:0009566)	226	65	89.80	-	.72	6.13E-04	6.31E-03
leukocyte mediated immunity (GO:0002443)	311	86	123.57	-	.70	8.35E-06	1.37E-04
single fertilization (GO:0007338)	185	51	73.51	-	.69	6.47E-04	6.57E-03
cell killing (GO:0001906)	178	48	70.72	-	.68	3.86E-04	4.27E-03
lymphocyte mediated immunity (GO:0002449)	255	68	101.32	-	.67	1.43E-05	2.22E-04
phospholipase C-activating G protein-coupled receptor signaling pathway (GO:0007200)	148	39	58.80	-	.66	7.13E-04	7.10E-03
nervous system process (GO:0050877)	1509	394	599.57	-	.66	1.37E-30	1.71E-28
keratinocyte differentiation (GO:0030216)	142	37	56.42	-	.66	7.44E-04	7.38E-03
detection of abiotic stimulus (GO:0009582)	151	39	60.00	-	.65	4.21E-04	4.62E-03
defense response to bacterium (GO:0042742)	334	86	132.71	-	.65	7.16E-08	1.70E-06
detection of external stimulus (GO:0009581)	149	38	59.20	-	.64	2.86E-04	3.31E-03
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460)	285	72	113.24	-	.64	2.60E-07	5.64E-06
regulation of postsynaptic membrane potential (GO:0060078)	108	27	42.91	-	.63	1.52E-03	1.38E-02
cilium-dependent cell motility (GO:0060285)	239	59	94.96	-	.62	1.02E-06	2.00E-05
cilium or flagellum-dependent cell motility (GO:0001539)	239	59	94.96	-	.62	1.02E-06	1.99E-05
sperm motility (GO:0097722)	224	55	89.00	-	.62	1.83E-06	3.38E-05
flagellated sperm motility (GO:0030317)	224	55	89.00	-	.62	1.83E-06	3.38E-05
cilium movement (GO:0003341)	277	68	110.06	-	.62	1.17E-07	2.70E-06
cilium movement involved in cell motility (GO:0060294)	237	57	94.17	-	.61	4.39E-07	9.20E-06
sensory perception of light stimulus (GO:0050953)	229	55	90.99	-	.60	5.78E-07	1.18E-05
visual perception (GO:0007601)	226	54	89.80	-	.60	5.01E-07	1.04E-05
cellular response to chemokine (GO:1990869)	89	21	35.36	-	.59	1.56E-03	1.41E-02
response to chemokine (GO:1990868)	89	21	35.36	-	.59	1.56E-03	1.41E-02
defense response to Gram-negative bacterium (GO:0050829)	102	22	40.53	-	.54	1.47E-04	1.83E-03
G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger (GO:0007187)	56	12	22.25	-	.54	5.73E-03	4.17E-02
G protein-coupled receptor signaling pathway (GO:0007186)	1273	260	505.80	-	.51	8.53E-52	2.70E-49
response to fungus (GO:0009620)	70	14	27.81	-	.50	5.43E-04	5.80E-03
humoral immune response (GO:0006959)	285	57	113.24	-	.50	1.12E-12	4.81E-11
Unclassified (UNCLASSIFIED)	2741	531	1089.07	-	.49	1.67E-131	6.09E-128
immunoglobulin mediated immune response (GO:0016064)	181	35	71.92	-	.49	4.22E-09	1.20E-07
B cell mediated immunity (GO:0019724)	186	35	73.90	-	.47	9.78E-10	2.94E-08
neuropeptide signaling pathway (GO:0007218)	117	22	46.49	-	.47	1.53E-06	2.88E-05
chemokine-mediated signaling pathway (GO:0070098)	80	15	31.79	-	.47	7.90E-05	1.05E-03
disruption of anatomical structure in another organism (GO:0141060)	125	23	49.67	-	.46	4.75E-07	9.89E-06
complement activation (GO:0006956)	55	10	21.85	-	.46	8.09E-04	7.95E-03
adaptive immune response (GO:0002250)	702	121	278.92	-	.43	6.01E-39	1.17E-36
antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844)	134	23	53.24	-	.43	2.21E-08	5.63E-07
defense response to fungus (GO:0050832)	59	10	23.44	-	.43	2.52E-04	2.97E-03
sensory perception (GO:0007600)	1013	170	402.49	-	.42	8.03E-59	3.07E-56
disruption of cell in another organism (GO:0141061)	121	20	48.08	-	.42	3.82E-08	9.45E-07
killing of cells of another organism (GO:0031640)	121	20	48.08	-	.42	3.82E-08	9.43E-07
organ or tissue specific immune response (GO:0002251)	49	8	19.47	-	.41	6.25E-04	6.37E-03
regulation of cilium movement (GO:0003352)	43	7	17.09	-	.41	1.49E-03	1.36E-02
antibacterial humoral response (GO:0019731)	80	13	31.79	-	.41	8.99E-06	1.47E-04
skeletal muscle contraction (GO:0003009)	37	6	14.70	-	.41	3.62E-03	2.87E-02
mucosal immune response (GO:0002385)	44	7	17.48	-	.40	9.83E-04	9.47E-03
regulation of cilium movement involved in cell motility (GO:0060295)	32	5	12.71	-	.39	5.77E-03	4.20E-02
regulation of cilium-dependent cell motility (GO:1902019)	32	5	12.71	-	.39	5.77E-03	4.20E-02
plasma membrane fusion (GO:0045026)	33	5	13.11	-	.38	3.73E-03	2.95E-02
antimicrobial humoral response (GO:0019730)	180	27	71.52	-	.38	5.56E-13	2.47E-11
killing by host of symbiont cells (GO:0051873)	30	4	11.92	-	.34	2.41E-03	2.03E-02
one-carbon compound transport (GO:0019755)	25	3	9.93	-	.30	3.64E-03	2.89E-02
regulation of appetite (GO:0032098)	27	3	10.73	-	.28	2.40E-03	2.02E-02
detection of visible light (GO:0009584)	28	3	11.13	-	.27	1.45E-03	1.32E-02
detection of stimulus (GO:0051606)	694	74	275.75	-	.27	2.81E-67	1.46E-64
fusion of sperm to egg plasma membrane involved in single fertilization (GO:0007342)	29	3	11.52	-	.26	8.84E-04	8.62E-03
eosinophil chemotaxis (GO:0048245)	20	2	7.95	-	.25	5.33E-03	3.93E-02
eosinophil migration (GO:0072677)	21	2	8.34	-	.24	3.31E-03	2.67E-02
sperm capacitation (GO:0048240)	33	3	13.11	-	.23	1.28E-04	1.61E-03
regulation of flagellated sperm motility (GO:1901317)	23	2	9.14	-	.22	2.03E-03	1.75E-02
detection of light stimulus (GO:0009583)	70	6	27.81	-	.22	9.20E-09	2.50E-07
phototransduction (GO:0007602)	47	4	18.67	-	.21	3.14E-06	5.49E-05
sensory perception of taste (GO:0050909)	71	6	28.21	-	.21	5.47E-09	1.53E-07
natural killer cell activation involved in immune response (GO:0002323)	25	2	9.93	-	.20	7.18E-04	7.15E-03
piRNA-mediated heterochromatin formation (GO:0140966)	16	1	6.36	-	.16	4.36E-03	3.33E-02
cornification (GO:0070268)	16	1	6.36	-	.16	4.36E-03	3.33E-02
DNA integration (GO:0015074)	17	1	6.75	-	.15	4.56E-03	3.45E-02
antifungal innate immune response (GO:0061760)	17	1	6.75	-	.15	4.56E-03	3.44E-02
complement receptor mediated signaling pathway (GO:0002430)	18	1	7.15	-	.14	2.59E-03	2.15E-02
sperm DNA condensation (GO:0035092)	19	1	7.55	-	.13	1.48E-03	1.35E-02
detection of stimulus involved in sensory perception (GO:0050906)	563	29	223.70	-	.13	1.06E-82	7.73E-80
keratinization (GO:0031424)	84	4	33.38	-	.12	1.90E-13	8.81E-12
sensory perception of bitter taste (GO:0050913)	44	2	17.48	-	.11	1.71E-07	3.81E-06
detection of light stimulus involved in sensory perception (GO:0050962)	25	1	9.93	-	.10	1.02E-04	1.33E-03
detection of light stimulus involved in visual perception (GO:0050908)	25	1	9.93	-	.10	1.02E-04	1.33E-03
sensory perception of chemical stimulus (GO:0007606)	548	21	217.74	-	.10	5.55E-89	5.38E-86
detection of chemical stimulus (GO:0009593)	522	19	207.40	-	.09	7.65E-86	6.54E-83
sensory perception of smell (GO:0007608)	467	13	185.55	-	.07	3.81E-82	2.64E-79
detection of chemical stimulus involved in sensory perception (GO:0050907)	485	5	192.70	-	.03	2.11E-98	2.55E-95
detection of chemical stimulus involved in sensory perception of smell (GO:0050911)	437	4	173.63	-	.02	1.48E-89	1.54E-86
oxidative demethylation (GO:0070989)	11	0	4.37	-	 < 0.01	4.49E-03	3.42E-02
detection of chemical stimulus involved in sensory perception of bitter taste (GO:0001580)	38	0	15.10	-	 < 0.01	6.82E-09	1.88E-07
detection of chemical stimulus involved in sensory perception of taste (GO:0050912)	44	0	17.48	-	 < 0.01	4.15E-10	1.31E-08
piRNA processing (GO:0034587)	21	0	8.34	-	 < 0.01	4.34E-05	6.13E-04
immune response-inhibiting cell surface receptor signaling pathway (GO:0002767)	47	0	18.67	-	 < 0.01	6.44E-11	2.25E-09
immune response-inhibiting signal transduction (GO:0002765)	49	0	19.47	-	 < 0.01	2.02E-11	7.51E-10
